Sample collection date,Tester,Site type,Name of Sampling Location,SARS-CoV-2 Detected,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated
4/22/22,BioBot,Municipal,MWRA Northern,Detected,593976.1093,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/2/21,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1171472.708,3,copies/L,North Andover,MA,Essex,1/5/23
9/24/20,BioBot,Municipal,MWRA Southern,Detected,57833.49407,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/29/22,BioBot,Municipal,Fall River WWTP,Detected,253928.9876,4,copies/L,Fall River,MA,Bristol,1/5/23
2/15/21,BioBot,Municipal,MWRA Northern,Detected,307733.924,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/18/21,BioBot,Municipal,MWRA Southern,Detected,13404.08734,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/25/22,BioBot,Municipal,MWRA Southern,Detected,531166.2659,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/28/22,BioBot,Municipal,Wareham WPCF,Detected,823693.7329,4,copies/L,Wareham,MA,Plymouth,1/5/23
1/19/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,3398563.425,3,copies/L,Worcester,MA,Worcester,1/5/23
6/16/20,BioBot,Municipal,MWRA Southern,Detected,40564.0927,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/12/20,BioBot,Municipal,MWRA Northern,Detected,30991.49476,6,copies/L,Winthrop,MA,Suffolk,1/5/23
7/12/20,BioBot,Municipal,MWRA Northern,Detected,33377.54306,6,copies/L,Winthrop,MA,Suffolk,1/5/23
8/17/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,1147076.831,7,copies/L,Provincetown,MA,Barnstable,1/5/23
8/24/21,BioBot,Municipal,MWRA Northern,Detected,332218.6079,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/27/22,BioBot,Municipal,Amherst WWTP,Detected,698440.4819,3,copies/L,Hadley,MA,Hampshire,1/5/23
9/12/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,430049.5998,7,copies/L,Provincetown,MA,Barnstable,1/5/23
